"Total_Value","Year","Month","Day","Hour","Ventilation","Sokets_Plug","Lighting","Other_Electricity","Cooling","Heating","Y.Ventilation","Y.Sokets_Plug","Y.Lighting","Y.Other_Electricity","Y.Cooling","Y.Heating"
188.751,2021,5,21,13,53.5,23.313,33.188,61.625,9.875,7.25,0.282631265676885,0.123811614095937,0.175765901019509,0.325378463778558,0.0531116943309793,0.0393010610981311
83.001,2021,5,22,1,17.5,8.625,3.063,44.063,6.75,3,0.210534068197304,0.104350190225285,0.0378043052359476,0.528343910515134,0.0819169765692247,0.037050549257104
88.251,2021,5,22,4,7.25,10.563,7.313,46,10.375,6.75,0.0827389507075148,0.120018902838998,0.0834478661872261,0.518778233863261,0.117903409026527,0.0771126373764729
80.75,2021,5,22,13,6.5,12.25,7.125,29.125,19,6.75,0.0810937679165233,0.151806702213049,0.0887799564270152,0.359333791996331,0.234817538126362,0.0841682433207201
27.75,2021,5,22,17,2.25,6.375,3.5,0,11.375,4.25,0.0816754254254254,0.229291791791792,0.126407657657658,0.00115740740740741,0.408220720720721,0.153246996996997
124.751,2021,5,23,3,7,16.875,5.563,77.688,10.875,6.75,0.0568795169607488,0.135487492937784,0.0454405638995843,0.619577299833119,0.0877256847492056,0.054889441619558
136.251,2021,5,23,9,10.625,12,6.813,81.938,19.125,5.75,0.0785969511742625,0.0886185391911497,0.0508134649776271,0.598356592082097,0.140548586187747,0.0430658663871173
128.001,2021,5,23,11,10.375,18.563,10.625,63.625,18.313,6.5,0.0816485862957668,0.145172612583756,0.0835881327750044,0.49477198637337,0.143233066104518,0.0515856158675844
130.001,2021,5,23,12,5,20,6.063,75,17.938,6,0.0393515580506931,0.15393400998055,0.0474716344774556,0.574069667056692,0.138182742255259,0.0469903881793502
125.001,2021,5,23,17,8.125,21.25,8.438,59.813,20.875,6.5,0.0657055021337607,0.169975501307101,0.0681920933521421,0.47633466154493,0.166996358473577,0.05279588318849
126.501,2021,5,23,22,7.125,12.688,7.125,77.563,16,6,0.0570899362675218,0.100760484765601,0.0570899362675218,0.610040879123485,0.126760279233629,0.0482584843422406
132.75,2021,5,23,23,9.625,17.75,7.375,68.75,22.5,6.75,0.0731586105879891,0.13393884703913,0.0563271604938272,0.515451715840134,0.169471908349027,0.0516517576898933
124.251,2021,5,24,5,5.25,14.063,8.375,72.563,18.25,5.75,0.0431171635998458,0.113553607661552,0.0680932089524877,0.581105176663009,0.147017512266836,0.0471133308562685
134.001,2021,5,24,6,9,13.125,6.563,76.563,22.75,6,0.0678546708606652,0.0984242499434084,0.0497945340789331,0.568551027604272,0.169753267803142,0.0456222497095793
136,2021,5,24,11,7.75,20,15,64.25,23,6,0.0577469703159041,0.147194989106754,0.110685593681917,0.470303138616558,0.169100626361656,0.0449686819172113
123.5,2021,5,25,1,6,12,5.875,77.375,16.25,6,0.0494030214424951,0.0976486354775828,0.0483979044834308,0.623324805068226,0.13182261208577,0.0494030214424951
280.5,2021,5,25,11,98.5,35.625,36.5,81,19.375,9.5,0.349877450980392,0.127280773420479,0.130378540305011,0.28792211328976,0.0697508169934641,0.0347903050108932
293.501,2021,5,25,15,49.25,27.375,36.938,144.313,25.625,10,0.167793930319122,0.0937802462847309,0.126136491332543,0.489437946107067,0.0878591515619797,0.0349922343945576
286.5,2021,5,25,17,80.875,40.75,36,76.375,46,6.5,0.281483299398875,0.142403529183634,0.125939257320147,0.265885568159783,0.160600882295908,0.0236874636416521
219.001,2021,5,25,21,107.875,19.563,18.563,43.75,22.75,6.5,0.490314388679436,0.0898654308106491,0.0853309512623568,0.199540887645194,0.104316817131057,0.0306315244713072
286.501,2021,5,26,14,99.875,40.188,40.313,70.25,26.875,9,0.347339178539484,0.140455059655276,0.140888328455191,0.244654472959632,0.0943101993891302,0.0323527610012867
126.501,2021,5,27,3,7.375,11.813,7.875,71.563,21.875,6,0.0590524811398065,0.0938915777126048,0.062977570884376,0.562939802188652,0.17288008373232,0.0482584843422406
155.001,2021,5,27,5,9.625,13.563,9,71.438,23.375,28,0.0628225561627201,0.088052411310608,0.0588183257240634,0.458844149930216,0.150915625813167,0.180546931059226
181.501,2021,5,27,7,3,11.875,7.125,115.688,15.813,28,0.0175714583860062,0.0661296925310278,0.0401407784815796,0.634126983944788,0.0876758701156019,0.154355216540997
277.751,2021,5,27,13,74.5,28.813,34.438,110.625,22.625,6.75,0.26752058481771,0.104173813188925,0.124285126919568,0.396679910776732,0.0820495804128852,0.0252909838841798
271.25,2021,5,27,16,137.375,25.25,37,39.125,24.75,7.75,0.504091995221028,0.0935985236388462,0.136615676736644,0.14439537463731,0.0917680064857484,0.0295304232804233
213.251,2021,5,27,21,25.875,20.125,15.063,126.688,19.25,6.25,0.121650687626492,0.0948744031333621,0.0713019592891493,0.591111134340562,0.0907997511452771,0.0302620644651573
12.875,2021,5,27,23,11.5,0.875,0.5,0,0,0,0.888158486156059,0.0686466199208918,0.039722671700827,0.00115740740740741,0.00115740740740741,0.00115740740740741
123.751,2021,5,28,4,10.875,11.938,4.938,65.25,25,5.75,0.0884252207314748,0.0969553987143239,0.0407830131264184,0.524764287351812,0.201773070221355,0.0472990098546155
250.501,2021,5,28,18,84.375,25.563,31.688,73.375,29,6.5,0.335643347583295,0.102496241051451,0.12677744263459,0.292036291678883,0.116121463882675,0.0269252131691054
252,2021,5,28,19,68.75,25,27,102.375,22.875,6,0.272080302028219,0.099674823633157,0.107556216931217,0.404586226851852,0.0913008432539682,0.0248015873015873
204.751,2021,5,28,22,69.25,14.25,8.438,68.938,38.125,5.75,0.337024373733444,0.0702708264708878,0.0420822516219791,0.33551115361079,0.186066116305315,0.0290452782575837
134.25,2021,5,29,5,7.125,13,9,79.125,19.75,6.25,0.0538614732050486,0.0973192116697703,0.0677309642044279,0.586449927581213,0.147249379267536,0.047389044072005
121.251,2021,5,29,6,6.375,11.313,5.75,71.438,20.625,5.75,0.0533691761075968,0.0938117978866612,0.0482503752546371,0.586240439941389,0.170077835555079,0.0482503752546371
119.001,2021,5,29,11,8.375,12.938,5.188,60,26.5,6,0.0710462342053148,0.109124170525178,0.0444509278166663,0.501853479989431,0.222298172797801,0.0512270146656097
130,2021,5,29,12,7.875,11.25,4.375,75.25,25.25,6,0.0613136574074074,0.0870949074074074,0.0345775462962963,0.575983796296296,0.194039351851852,0.0469907407407407
120.501,2021,5,29,15,8.875,15.438,7.5,58.188,24.5,6,0.0742967843051556,0.128382838455006,0.0629653315463495,0.480688006046976,0.203063292927952,0.0506037467185611
118,2021,5,29,19,7,10.5,4.75,65.5,24.25,6,0.0600674827369743,0.0895225204017577,0.0411321013810421,0.552387397991212,0.205238739799121,0.0516517576898933
6.125,2021,5,29,20,0.875,0.5,4.75,0,0,0,0.143022486772487,0.0822231670445956,0.771282123960695,0.00115740740740741,0.00115740740740741,0.00115740740740741
131.501,2021,5,30,8,7.75,13.5,7.688,69.563,27,6,0.0596830502204321,0.103105301339773,0.0592148450779279,0.52647602560127,0.205053195272138,0.0464675824884588
