Ventilation,Sokets_Plug,Lighting,Other_Electricity,Cooling,Heating
0.349612115,0.117616786,0.133566811,0.276992593,0.065234376,0.05697732
0.087929587,0.130980773,0.062361068,0.563453319,0.117534256,0.037740997
0.054411587,0.100780391,0.04979076,0.65984901,0.092447076,0.042721176
0.045662405,0.149648085,0.092149996,0.397064276,0.237207298,0.07826794
0.028412577,0.324901943,0.361746772,0.017765967,0.15020031,0.11697243
0.072728836,0.103720485,0.059806468,0.594162752,0.12845026,0.041131199
0.05863708,0.105762112,0.061771084,0.598127336,0.113043372,0.062659016
0.050870221,0.119343613,0.061906095,0.591476664,0.126267063,0.050136345
0.052684084,0.125834419,0.065427372,0.572897408,0.134718043,0.048438673
0.065927461,0.135112586,0.073160771,0.509828769,0.164747695,0.051222718
0.084220978,0.124319447,0.059583549,0.528125296,0.145162909,0.058587821
0.204014762,0.114881598,0.05977325,0.458181845,0.10815586,0.054992685
0.064681718,0.095156371,0.058364926,0.599814271,0.1340425,0.047940214
0.058986346,0.093850027,0.058284881,0.596534457,0.133796947,0.058547343
0.047783411,0.113774223,0.064162448,0.58178011,0.139625186,0.052874622
0.112296825,0.116776482,0.061926185,0.528472168,0.143273253,0.037255088
0.268124466,0.092789282,0.106236088,0.408322629,0.073832937,0.050694598
0.352588849,0.116492692,0.145670898,0.25532789,0.098062798,0.031856872
0.339496887,0.114130395,0.141052036,0.259406774,0.110115352,0.035798556
0.116156679,0.107029812,0.09822612,0.505829674,0.110927212,0.061830503
0.34907998,0.118918069,0.142751957,0.288145526,0.074485587,0.026618882
0.112457196,0.11626956,0.059432198,0.525371042,0.142923519,0.043546485
0.081506749,0.093444992,0.057183067,0.578410055,0.139636419,0.049818717
0.085525623,0.074368693,0.049003941,0.591203502,0.122717499,0.077180742
0.337880018,0.112517607,0.125667403,0.338764166,0.059822084,0.025348722
0.388419017,0.119497871,0.137604781,0.246496552,0.081670354,0.026311426
0.11634779,0.101497606,0.079379322,0.534928575,0.118821752,0.049024955
0.363057491,0.110296974,0.115335946,0.015220194,0.334945469,0.061143925
0.108815966,0.119609989,0.055972091,0.520333519,0.148235012,0.047033422
0.361874149,0.113935407,0.117148347,0.297338398,0.089010506,0.020693193
0.342902625,0.107492945,0.110298337,0.318756667,0.099158936,0.02139049
0.157297018,0.089600729,0.065933405,0.52081729,0.124153886,0.042197671
0.063394929,0.099406147,0.048996916,0.595305094,0.149184551,0.043712363
0.06585459,0.105275491,0.046227398,0.583204616,0.151507478,0.047930427
0.04209753,0.123302621,0.038598476,0.582187169,0.159358011,0.054456193
0.045714237,0.129297333,0.046727556,0.571580689,0.157159652,0.049520533
0.053923052,0.152415399,0.050538169,0.5116634,0.182670996,0.048788983
0.050206428,0.134717789,0.041918449,0.524198015,0.195746202,0.053213117
0.552071995,0.142859205,0.195030331,0.028330262,0.062182716,0.01952549
0.043004922,0.097812608,0.036757872,0.622824814,0.153281282,0.046318503
0.03621744,0.113317465,0.034482621,0.598252522,0.167392695,0.050337257
0.046361374,0.13856927,0.038607058,0.517582968,0.204463144,0.054416186
0.063813797,0.090381114,0.031890051,0.600635319,0.166248074,0.047031644
0.040796669,0.106401017,0.042230952,0.610380775,0.156744347,0.04344624
0.037412142,0.108943737,0.04085142,0.607767357,0.159996252,0.045029091
0.036809059,0.111456791,0.039073906,0.60381155,0.161039899,0.047808795
0.044509492,0.092914324,0.039218342,0.636665839,0.142385709,0.044306293
0.277841566,0.061615318,0.061094038,0.505420897,0.06617104,0.02785714
0.77703134,0.091694733,0.086516561,0.032757837,0.007694719,0.004304809
0.539015588,0.156489018,0.178310077,0.047266744,0.068905491,0.010013082
0.804243381,0.066091411,0.081126693,0.023706307,0.019758652,0.005073555
0.344641408,0.089076924,0.077885418,0.352298165,0.114419129,0.021678956
0.075428893,0.093520378,0.054897154,0.551098768,0.177815154,0.047239653
0.21417103,0.074154413,0.087669754,0.407750364,0.185963848,0.030290592
0.192302651,0.088419697,0.120876227,0.440899768,0.133536813,0.023964844
0.303222289,0.082981266,0.116826956,0.33406775,0.139975958,0.022925782
0.209391897,0.148101366,0.393339408,0.175556524,0.047512803,0.026098001
0.064603114,0.098763825,0.067878801,0.52508666,0.201110755,0.042556845
0.243431173,0.079200146,0.101264556,0.379034104,0.168896879,0.028173141
0.243144701,0.104256531,0.148342767,0.361557291,0.117742619,0.02495609
0.844041871,0.037511494,0.091002744,0.015223546,0.005299813,0.006920533
0.093676324,0.278902423,0.535173051,0.075239856,0.001258416,0.01574993
0.229682988,0.099415712,0.127811801,0.40668736,0.11347739,0.022924749
0.592067631,0.064193621,0.036304758,0.094743048,0.188440742,0.0242502
0.027711421,0.094465059,0.050059879,0.567810414,0.203610538,0.056342689
0.258067599,0.128009902,0.142741637,0.255457169,0.178604038,0.037119654
0.454276883,0.065943688,0.084669698,0.005777886,0.373203682,0.016128164
0.402809927,0.074558917,0.044020032,0.311044264,0.133778632,0.033788227
0.106778847,0.121020276,0.070881335,0.469464697,0.175012235,0.05684261
0.306414232,0.089755652,0.073049204,0.354406468,0.134574063,0.041800382
0.065670526,0.073545729,0.033034077,0.670663843,0.114854643,0.042231183
0.06190003,0.079940256,0.037311027,0.631174922,0.138798939,0.050874826
0.044342119,0.083662412,0.049804066,0.624057804,0.150689586,0.047444012
0.108267315,0.081710114,0.040131975,0.596054556,0.125765609,0.048070431
0.283596024,0.05617038,0.049782936,0.497495266,0.083004112,0.029951282
0.244695752,0.064150658,0.070209978,0.531263152,0.062423041,0.027257419
0.492797846,0.106226657,0.126794743,0.150165217,0.099369029,0.024646507
0.203330966,0.101165307,0.128234885,0.457815311,0.083855182,0.02559835
0.220871993,0.101446804,0.123004256,0.456595436,0.074739956,0.023341554
0.197833702,0.099925521,0.112034363,0.503155268,0.063553047,0.023498099
0.274635964,0.100120625,0.1240523,0.398925866,0.077400555,0.024864689
0.235700988,0.098401307,0.112730594,0.465337696,0.06311785,0.024711564
0.245628955,0.099729858,0.102637039,0.457551986,0.070096013,0.024356149
0.051924304,0.09534279,0.042057111,0.593821406,0.16938158,0.047472809
0.035086742,0.569820465,0.338813705,0.026527847,0.000736009,0.029015232
0.289759938,0.105937931,0.138940778,0.316796163,0.116712309,0.031852882
0.058955667,0.544516929,0.208699867,0.068368907,0.106306172,0.013152458
0.055067051,0.607032779,0.298853084,0.020889326,0.007640852,0.010516908
0.313946006,0.098074264,0.121268888,0.329893365,0.108908902,0.027908574
0.170507905,0.06470908,0.058286074,0.000368014,0.688635772,0.017493155
0.537981541,0.084830272,0.053156615,0.142736091,0.15622609,0.025069391
0.133330088,0.618423313,0.131821301,0.075780385,0.03897203,0.001672883
0.401684533,0.066217057,0.056543198,0.335287483,0.109019025,0.031248704
0.371289033,0.120084415,0.120123664,0.127266288,0.233410011,0.02782659
0.227057528,0.057664072,0.055774546,0.005082148,0.640459562,0.013962144
0.190063235,0.057829395,0.054821308,0.003097754,0.679283328,0.01490498
0.268559571,0.059782638,0.04224136,0.003159929,0.609455836,0.016800665
0.069045248,0.167509269,0.077852588,0.070782185,0.53051429,0.08429642
0.099634931,0.166608508,0.068738265,0.090484012,0.498430233,0.076104051
0.139560273,0.213437819,0.085355645,0.011994289,0.464077664,0.085574309
0.10970277,0.19284446,0.087814332,0.065533025,0.453831646,0.090273767
0.117574059,0.206105165,0.095404919,0.133231677,0.359666109,0.088018071
0.058701144,0.203038847,0.066519853,0.014561582,0.561044757,0.096133816
0.07708961,0.195274217,0.070475228,0.002088885,0.560563408,0.094508652
0.063376465,0.186164061,0.076893151,0.160670335,0.433115399,0.079780589
0.099906551,0.237912488,0.083647569,0.007869026,0.479118713,0.091545652
0.073737475,0.244325298,0.08836802,0.00274737,0.503164819,0.087657018
